kanji;hiragana;meaning;pos;jlpt;sentenceEN;sentenceJP;meaning2;pos2;meaning3;pos3;meaning4;pos4;ref1;ref2;ref3
浮かれ歩く;うかれあるく;to gad about;v5k, vi;0;;;;;;;;;;;
飲み歩く;のみあるく;to go bar-hopping;v5k, vi;0;;;;;;;;;;;
あれ;あれ;that one (over there);pn;5;Let there be light!;<ruby>光<rt>ひかり</rt></ruby>あれ！;that, that thing;pn;that person;pn;then, that time;pn;備えあれば憂いなし;あれよあれよという間に;あらら
備えあれば憂いなし;そなえあればうれいなし;if you are prepared you don't have to worry;exp;0;;;;;;;;;;;
あれよあれよという間に;あれよあれよというまに;while looking on in blank amazement;exp;0;;;;;;;;;;;
あらら;あらら;tsk tsk;int;0;;;;;;;;;;;
いい, よい;いい, よい;good;n;5;All right.;いいよ。;evening, early night hours;n;;;;;良いとこ取り;いい年して;喉越しの良い
良いとこ取り;いいとこどり;focusing on only the good points or strong points;exp, n, vs;0;;;;;;;;;;;
いい年して;いいとしして;(in spite of) being old enough to know better;exp;0;;;;;;;;;;;
喉越しの良い;のどごしのいい;going down smoothly (esp. of beer);exp, adj-ix;0;;;;;;;;;;;
いいえ;いいえ;no, not at all;int;5;You're welcome.;いいえ！;no;int;you're welcome, not at all, don't mention it;int;;;;;
言う;いう;to say;v5u, vt;5;Don't lie!;うそを<ruby>言<rt>い</rt></ruby>うな！;to say, to utter, to declare;v5u, vt;to name, to call;v5u, vt;"to go (e.g. ""the alarm went ping""), to make a noise";v5u, vi;言うまでもない;言うまでもなく;言うことなし
言うまでもない;いうまでもない;goes without saying;exp, adj-i;0;;;;;;;;;;;
言うまでもなく;いうまでもなく;obviously;exp;0;;;;;;;;;;;
言うことなし;いうことなし;nothing one can say (e.g. about something perfect);exp;0;;;;;;;;;;;
家;いえ;house, home;n;5;She's my wife.;<ruby>家内<rt>かない</rt></ruby>だ。;house, residence, dwelling, home;n;family, household;n;lineage, family name;n;家来;家づくり;家探し
家来;けらい;retainer;n;0;;;;;;;;;;;
家づくり;いえづくり;house building;n;0;;;;;;;;;;;
家探し;いえさがし;house hunting;n, vs, vi;0;;;;;;;;;;;
いかが;いかが;how, in what way;adv;5;How about a bite to eat?;<ruby>一口<rt>ひとくち</rt></ruby>いかが？;how, in what way, how about;adv;questionable;adj-na;;;いかがお過ごしですか;いかがお過ごしでしょうか;ご機嫌いかがですか
いかがお過ごしですか;いかがおすごしですか;how are things with you?;exp;0;;;;;;;;;;;
いかがお過ごしでしょうか;いかがおすごしでしょうか;how are things with you?;exp;0;;;;;;;;;;;
ご機嫌いかがですか;ごきげんいかがですか;how are you?;exp;0;;;;;;;;;;;
行く;いく, ゆく;to go;v5k-s, vi;5;;;to go, to move (towards), to head (towards), to leave (for);v5k-s, vi;to move through, to travel across, to walk along (e.g. a road);v5k-s, vi;to go (well, badly, etc.), to proceed, to turn out, to get along;v5k-s, vi;行く先々;行くあて;上手く行く
行く先々;ゆくさきざき;everywhere;exp, n;0;;;;;;;;;;;
行くあて;いくあて;somewhere to go;n;0;;;;;;;;;;;
上手く行く;うまくいく;to go smoothly;exp, v5k-s;0;;;;;;;;;;;
いくつ;いくつ;how many, how old;adv;5;;;how many;adv;how old;adv;;;体がいくつあっても足りない;;
体がいくつあっても足りない;からだがいくつあってもたりない;being stretched too thin;exp;0;;;;;;;;;;;
